@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Bent-Beak-Riffraff,Blue-collared-Zipper,Bombadil,Broad-winged-Jojo,Canadian-Cootamum,Carries-Champagne-Pipit,Darkwing-Sparrow,Eastern-Corn-Skeet,Green-Tipped-Scarlet-Pipit,Lesser-Birchbeere,Orange-Pine-Plover,Ordinary-Snape,Pinkfinch,Purple-Tooting-Tout,Qax,Queenscoat,Rose-Crested-Blue-Pipit,Scrawny-Jay,Vermillion-Trillian}

@DATA
0.192386,0.006738,3.167099,0.204807,0.146741,1.386497,0.003606,0.282290,-27.307033,1.434344,0.020795,0.107265,0.011750,0.075869,0.015579,0.072679,0.104568,0.079288,0.147624,0.074502,0.066509,0.001383,0.001732,0.032309,0.000955,0.001834,0.001338,0.086923,0.002262,0.002380,0.001378,0.007852,0.000864,0.026177,0.024429,0.004317,0.101070,0.011449,0.014622,0.185341,0.001527,0.033739,0.333055,0.274847,0.212122,0.189959,0.187292,0.177320,0.164464,0.158745,0.146267,0.152803,0.139417,0.142653,0.135645,0.000849,0.001470,0.028279,0.000672,0.001405,0.000963,0.054046,0.001874,0.001773,0.000966,0.008015,0.000759,0.014235,Bent-Beak-Riffraff
0.023536,0.013663,2.715201,0.119302,0.189747,0.189337,0.023291,0.022230,-28.239151,2.057520,0.401179,0.021314,0.190208,0.049449,0.160697,0.048641,0.088743,0.041985,0.097992,0.066765,0.068680,0.000803,0.000212,0.119575,0.000627,0.031131,0.000540,0.244484,0.000176,0.000369,0.000975,0.004928,0.000447,0.080938,0.019591,0.012456,0.246977,0.022637,0.024366,0.171609,0.018091,0.028362,1.019817,0.325684,0.234904,0.265128,0.201918,0.181326,0.185020,0.173568,0.157615,0.146893,0.142834,0.147516,0.141580,0.000858,0.000238,0.088270,0.000624,0.029821,0.000549,0.118420,0.000317,0.000406,0.001077,0.005200,0.000824,0.023407,Bent-Beak-Riffraff
0.064889,0.001867,3.061657,0.128288,0.153043,0.421337,0.005304,0.089150,-28.204350,0.453632,0.252699,0.366221,-0.291441,0.383816,-0.076415,0.128147,0.032821,0.034033,0.100604,-0.043263,0.132054,0.003997,0.002782,0.071507,0.003972,0.005092,0.003007,0.146368,0.001600,0.002284,0.003282,0.013185,0.002269,0.046386,0.017109,0.002548,0.175524,0.011793,0.017008,0.163283,0.003448,0.022484,0.297583,0.329159,0.255847,0.228746,0.207191,0.215525,0.190236,0.186495,0.175099,0.171047,0.160551,0.155895,0.154246,0.003164,0.002515,0.056540,0.003155,0.003739,0.002567,0.074539,0.001491,0.002141,0.002291,0.011958,0.001858,0.018728,Bent-Beak-Riffraff
0.196521,0.006154,3.225393,0.222916,0.148860,1.441202,0.002996,0.276004,-27.714037,0.548421,1.085534,-0.335303,0.492676,-0.141864,0.169107,-0.068148,0.055513,-0.019943,-0.018650,-0.004390,-0.047783,0.002928,0.001270,0.007430,0.002069,0.003391,0.001754,0.006569,0.001470,0.004189,0.006722,0.005651,0.001747,0.004359,0.024858,0.005670,0.073186,0.014911,0.010965,0.343416,0.001589,0.040230,0.337943,0.361602,0.276421,0.242430,0.220840,0.213025,0.204386,0.206089,0.191067,0.189974,0.176920,0.170356,0.168169,0.002549,0.001258,0.005741,0.001585,0.002490,0.001552,0.005146,0.001753,0.004738,0.006676,0.004665,0.002391,0.002716,Bent-Beak-Riffraff
0.165190,0.002870,3.161428,0.174861,0.127243,1.214850,0.003402,0.238327,-28.895053,-0.790437,-1.024604,-0.063635,-0.542999,-0.534413,-0.160156,-0.317265,-0.381144,-0.131715,-0.177375,-0.181281,0.070688,0.001762,0.001807,0.003822,0.002538,0.001781,0.002730,0.006855,0.010249,0.004233,0.002480,0.001644,0.002266,0.004691,0.030358,0.002803,0.158138,0.019489,0.019604,0.279510,0.001740,0.036659,0.817472,0.283917,0.296888,0.288978,0.244544,0.220208,0.220595,0.206600,0.188281,0.187217,0.164950,0.157124,0.156535,0.001246,0.001479,0.004524,0.001886,0.001072,0.001965,0.008346,0.009278,0.004046,0.001636,0.001229,0.001755,0.003904,Bent-Beak-Riffraff
0.160258,0.017382,3.167731,0.188225,0.136418,1.078950,0.004983,0.201959,-29.270713,-0.879098,0.861379,-0.635521,-0.050680,0.164237,-0.433281,0.233010,-0.151628,-0.184056,0.124752,-0.124897,0.018355,0.001665,0.002151,0.005592,0.004172,0.002796,0.001863,0.002098,0.001999,0.001931,0.001594,0.001514,0.001286,0.002875,0.017085,0.025349,0.152684,0.014518,0.016168,0.320747,0.005030,0.027634,0.800583,0.418978,0.268252,0.237597,0.228129,0.214807,0.220305,0.205681,0.182581,0.164617,0.166362,0.160873,0.151975,0.001483,0.002177,0.005443,0.003721,0.003498,0.001674,0.002085,0.002120,0.002390,0.001506,0.001538,0.001914,0.002271,Bent-Beak-Riffraff
0.221477,0.000684,3.143055,0.236148,0.152988,1.491211,0.003924,0.288828,-32.449374,0.565705,0.844042,-0.095503,0.517514,0.009901,0.234918,0.097089,0.097571,0.136717,0.036883,0.126086,-0.041854,0.001006,0.000366,0.042295,0.000718,0.003563,0.000902,0.040927,0.001185,0.002199,0.002603,0.010162,0.001511,0.017339,0.030639,0.001678,0.194807,0.020991,0.012535,0.292600,0.002908,0.032883,0.679799,0.493688,0.287473,0.250557,0.210288,0.190904,0.192472,0.178802,0.165246,0.167447,0.161068,0.165388,0.148858,0.001157,0.000266,0.035161,0.000777,0.003995,0.000867,0.035180,0.001793,0.002316,0.002388,0.010613,0.002085,0.011626,Bent-Beak-Riffraff
0.218193,0.006296,3.200359,0.229781,0.134315,1.126163,0.004842,0.268865,-30.573197,-1.034180,0.592450,-0.303743,0.220841,-0.122019,-0.030883,0.023322,0.121433,0.056383,-0.046535,0.103886,-0.124803,0.001383,0.000625,0.003039,0.000540,0.000771,0.001552,0.004194,0.003074,0.002348,0.002796,0.003491,0.001584,0.002927,0.028762,0.010986,0.110894,0.018660,0.013122,0.389500,0.004118,0.035853,0.739555,0.489063,0.395455,0.348071,0.310825,0.291386,0.303753,0.298758,0.245267,0.240391,0.208163,0.190539,0.186823,0.002797,0.000717,0.004372,0.000844,0.001312,0.002444,0.004707,0.003263,0.003345,0.003197,0.003107,0.001679,0.002465,Bent-Beak-Riffraff
0.244606,0.012948,3.192885,0.238933,0.131350,1.422332,0.003663,0.304043,-27.477184,0.212706,0.537511,0.019371,0.435303,-0.122558,0.349788,-0.016489,0.230529,0.051288,0.053163,0.039055,0.073170,0.001430,0.000484,0.002078,0.000931,0.001318,0.001046,0.003246,0.001118,0.001421,0.001799,0.009315,0.005006,0.003403,0.029870,0.008950,0.127930,0.013623,0.013574,0.271696,0.002147,0.021321,0.602607,0.482327,0.346774,0.277387,0.275610,0.238148,0.202409,0.197861,0.197193,0.186020,0.189274,0.174674,0.196429,0.001363,0.000367,0.001806,0.001022,0.001121,0.001650,0.002136,0.001846,0.001455,0.001427,0.007297,0.005101,0.002178,Bent-Beak-Riffraff
0.078206,0.008630,3.133111,0.138028,0.156925,0.570144,0.007512,0.099427,-27.048361,0.589267,-0.495768,0.042176,0.279490,-0.013661,-0.062968,0.095022,0.132461,0.113560,-0.053950,0.096206,-0.090944,0.007597,0.004022,0.031958,0.005606,0.037708,0.003208,0.037087,0.002545,0.003482,0.006546,0.013240,0.005205,0.020526,0.024080,0.014542,0.175535,0.016918,0.016453,0.276428,0.005778,0.034011,0.504919,0.470946,0.469481,0.342229,0.332993,0.282319,0.288535,0.265075,0.209195,0.209446,0.183901,0.178393,0.162505,0.008339,0.004279,0.031327,0.005500,0.034615,0.002939,0.035855,0.002873,0.003349,0.005500,0.013945,0.005979,0.012019,Bent-Beak-Riffraff
0.156167,0.007840,3.136935,0.172997,0.132801,1.225633,0.004696,0.218269,-28.914425,-0.489959,-1.254175,-0.913045,-0.686677,-0.306894,-0.503464,-0.058549,-0.138019,0.081248,-0.003857,0.056404,0.253690,0.003653,0.003300,0.003277,0.003743,0.008883,0.004169,0.005573,0.003872,0.004619,0.004106,0.004456,0.004650,0.004576,0.024165,0.013476,0.197971,0.016784,0.017166,0.300681,0.003233,0.023242,0.572788,0.457598,0.446199,0.335759,0.325559,0.285285,0.285250,0.235853,0.201344,0.197823,0.183890,0.176673,0.178722,0.003321,0.003416,0.002711,0.003109,0.009694,0.003353,0.005117,0.003229,0.004142,0.004096,0.004422,0.004133,0.003300,Bent-Beak-Riffraff
0.264436,0.011580,3.195195,0.267915,0.130003,1.231023,0.003675,0.306408,-29.867444,-1.098099,-0.358602,0.122665,0.079802,-0.171314,-0.130626,0.017740,0.162345,-0.161069,-0.052399,0.152502,0.061000,0.000315,0.000341,0.000291,0.000670,0.001576,0.001660,0.000473,0.000179,0.000423,0.000750,0.002218,0.005560,0.002208,0.016599,0.007175,0.071879,0.010342,0.010654,0.174368,0.001408,0.010941,0.377509,0.282096,0.256377,0.230142,0.209816,0.210967,0.187626,0.184052,0.168424,0.170363,0.167691,0.164744,0.156074,0.000366,0.000572,0.000179,0.000608,0.001378,0.001589,0.000390,0.000191,0.000538,0.001164,0.002739,0.005844,0.001764,Bent-Beak-Riffraff
0.127594,0.012024,3.067004,0.193397,0.190167,1.037752,0.003225,0.224082,-25.675371,0.793280,-0.184099,0.427081,0.128492,0.174330,0.320001,0.129654,0.224721,0.066584,0.156107,-0.013895,0.136278,0.003780,0.002545,0.120705,0.002944,0.009126,0.004254,0.083685,0.001767,0.001880,0.004687,0.021238,0.002114,0.042482,0.034065,0.006859,0.207901,0.013463,0.011501,0.348488,0.001267,0.113362,1.605366,0.271047,0.230055,0.244797,0.259417,0.182905,0.215132,0.171385,0.231575,0.154686,0.187680,0.169011,0.138977,0.002058,0.001863,0.078153,0.002456,0.004891,0.007740,0.046984,0.001574,0.001211,0.003218,0.012751,0.001383,0.017401,Bent-Beak-Riffraff
0.396785,0.000958,3.182628,0.366628,0.134983,0.982541,0.004642,0.429163,-36.363213,-2.725186,-0.119930,0.516476,-0.136866,0.065000,-0.035641,-0.059191,0.012606,0.000631,-0.040582,0.054841,-0.033581,0.001289,0.000353,0.000246,0.000197,0.000248,0.000493,0.000599,0.000486,0.001008,0.000955,0.000828,0.004731,0.001741,0.020899,0.001912,0.074029,0.016342,0.010531,0.171885,0.001892,0.020690,0.829715,0.555453,0.317475,0.221082,0.179620,0.159694,0.153643,0.153471,0.151217,0.144543,0.138129,0.131263,0.125500,0.001225,0.000370,0.000187,0.000169,0.000373,0.000991,0.001022,0.000520,0.001057,0.000806,0.000829,0.004762,0.001495,Bent-Beak-Riffraff
0.189031,0.008176,3.221153,0.212456,0.170015,1.410644,0.004399,0.321575,-27.621643,0.692960,-0.636669,-0.318414,0.240217,0.056423,0.242742,0.071959,0.031487,0.159552,0.033103,0.138302,-0.045175,0.003532,0.002707,0.022625,0.002745,0.019554,0.003608,0.049159,0.003770,0.004402,0.004564,0.005617,0.002738,0.016357,0.022226,0.011281,0.071828,0.010935,0.010872,0.245186,0.003318,0.025163,0.302821,0.363358,0.322895,0.240541,0.213965,0.198483,0.190971,0.193657,0.182450,0.178988,0.171488,0.157725,0.163719,0.002233,0.001949,0.017534,0.001823,0.018485,0.002705,0.034894,0.003478,0.003944,0.002952,0.003304,0.001678,0.008499,Bent-Beak-Riffraff
0.069863,0.007594,2.970786,0.178573,0.197043,0.485647,0.006196,0.070424,-29.867057,0.964259,0.185658,0.389354,0.141069,0.164244,0.096838,0.172083,0.102030,0.132117,0.030558,0.099101,0.069682,0.003025,0.001185,0.164046,0.002445,0.009606,0.001968,0.140221,0.001391,0.002116,0.003033,0.019155,0.001327,0.063930,0.023418,0.013797,0.167400,0.012875,0.014375,0.235550,0.004546,0.044544,0.438399,0.397928,0.289523,0.227943,0.198762,0.189607,0.193077,0.181786,0.171250,0.174942,0.168577,0.167692,0.147058,0.002605,0.001015,0.098752,0.002113,0.006770,0.001731,0.077535,0.001873,0.002761,0.002248,0.015978,0.001002,0.019288,Bent-Beak-Riffraff
0.139905,0.014483,3.096362,0.196473,0.187710,1.065254,0.003095,0.247459,-25.184733,0.757981,-0.164673,0.427166,0.138652,0.167009,0.306216,0.153113,0.221551,0.064272,0.170398,-0.009674,0.138970,0.003456,0.002145,0.119779,0.002653,0.009676,0.003267,0.077291,0.001616,0.001940,0.004148,0.020129,0.002265,0.040738,0.048966,0.008393,0.168640,0.018893,0.011429,0.311648,0.001174,0.111780,1.610073,0.319194,0.238149,0.237493,0.216576,0.200387,0.198809,0.238307,0.240448,0.172408,0.170706,0.156647,0.125235,0.002090,0.001635,0.074317,0.002172,0.005542,0.003401,0.043372,0.001811,0.001576,0.002980,0.019136,0.001581,0.019079,Bent-Beak-Riffraff
0.181889,0.002438,3.107723,0.205768,0.153214,1.070618,0.003755,0.238220,-30.451107,0.231129,0.029935,0.316878,0.324309,-0.050625,0.321933,-0.184890,0.262807,-0.169242,0.155700,-0.196583,0.150653,0.001792,0.002372,0.012021,0.001014,0.001217,0.000741,0.013787,0.000731,0.001110,0.002443,0.004366,0.005903,0.005989,0.014025,0.004461,0.147840,0.012736,0.012478,0.232547,0.002021,0.029644,0.636975,0.281117,0.301413,0.232221,0.208594,0.191341,0.176186,0.173714,0.170870,0.159651,0.157474,0.160269,0.158916,0.001326,0.001774,0.009236,0.000690,0.001010,0.000582,0.009149,0.000911,0.001410,0.002201,0.002328,0.005387,0.003666,Bent-Beak-Riffraff
0.181656,0.004607,3.135274,0.199140,0.141003,1.430026,0.003739,0.234279,-30.299101,-0.468042,0.195005,-0.224713,0.053332,0.046678,-0.037868,-0.095582,0.020149,0.036355,-0.006700,-0.052763,-0.016600,0.002197,0.001822,0.002268,0.001995,0.004086,0.004670,0.003734,0.002115,0.002102,0.004031,0.003888,0.002443,0.003133,0.019436,0.009317,0.128099,0.013001,0.014138,0.297316,0.003357,0.033517,0.578822,0.260014,0.248003,0.212813,0.213692,0.206071,0.201366,0.188150,0.186262,0.173834,0.165326,0.165294,0.145087,0.001334,0.001596,0.001483,0.001169,0.003537,0.003499,0.002735,0.002633,0.002269,0.005985,0.004532,0.002597,0.003016,Bent-Beak-Riffraff
